,Unnamed: 0,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
0,0,2012,All Other Causes,M,Not Stated/Unknown,78,10000,10000
1,1,2014,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,8,10000,10000
2,2,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077,244.6,330.2
3,3,2010,All Other Causes,M,Black Non-Hispanic,1230,144.5,166.2
4,4,2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,169,11.9,7.4
5,5,2011,All Other Causes,F,Other Race/ Ethnicity,38,10000,10000
6,6,2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145,12.6,13
7,7,2014,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14,10000,10000
8,8,2012,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,6,10000,10000
9,9,2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,208,19.9,17.9
10,10,2010,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,414,73.6,79.9
11,11,2012,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,8,10000,10000
12,12,2013,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,32,10000,10000
13,13,2010,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,279,32.8,41
14,14,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,151,10000,10000
15,15,2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,143,12.2,15
16,16,2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168,13.8,16.7
17,17,2008,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,6,10000,10000
18,18,2012,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,29,10000,10000
19,19,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,0,10000,10000
20,20,2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,0,10000,10000
21,21,2009,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,12,10000,10000
22,22,2007,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,528,109.1,145.9
23,23,2011,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,466,32.9,17.6
24,24,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,50,8.7,8.7
25,25,2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,0,10000,10000
26,26,2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,0,10000,10000
27,27,2009,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,17,10000,10000
28,28,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496,102.5,157.8
29,29,2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,227,21.7,19.6
30,30,2012,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,0,10000,10000
31,31,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222,20.1,22.7
32,32,2009,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,506,99.1,127
33,33,2014,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,277,20.6,16.8
34,34,2011,All Other Causes,F,White Non-Hispanic,2445,172.6,105.4
35,35,2009,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,555,41.3,34.3
